COLL_DATE,MODEL,YIL,KM,RENK,FIYAT,ILAN_TARIHI,IL_ILCE,ID,YAKIT,VITES,MARKA
7/17/2020,A3 Sedan 1.6 TDI,2017,49000,Siyah,228750,"16 Temmuz

2020",Ýstanbul,841811084,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,129236,Siyah,203000,"16 Temmuz

2020",Gaziantep,841809244,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,45000,Beyaz,239900,"16 Temmuz

2020",Ýstanbul,832576324,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,105000,Beyaz,227750,"16 Temmuz

2020",Ýstanbul,832547584,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,106500,Gri,240000,"16 Temmuz

2020",Van,841799698,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,47000,Mavi,255000,"16 Temmuz

2020",Gaziantep,841794159,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,44000,Gümüþ Gri,210750,"16 Temmuz

2020",Ýstanbul,832567511,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,106500,Siyah,204000,"16 Temmuz

2020",Ýstanbul,832557311,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2019,5600,Lacivert,315000,"16 Temmuz

2020",Bursa,841794001,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,90000,Siyah,198000,"16 Temmuz

2020",Ýstanbul,841776772,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,97000,Beyaz,187000,"16 Temmuz

2020",Ýstanbul,783767464,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,175000,Siyah,195750,"16 Temmuz

2020",Ýstanbul,841783650,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,126000,Beyaz,168750,"16 Temmuz

2020",Ýstanbul,832550019,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,175000,Beyaz,190000,"16 Temmuz

2020",Van,841776202,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,105000,Beyaz,192000,"16 Temmuz

2020",Sakarya,841563792,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2018,57100,Siyah,258000,"16 Temmuz

2020",Adana,832544634,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,154000,Siyah,171750,"16 Temmuz

2020",Ýstanbul,841775802,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,95850,Beyaz,239000,"16 Temmuz

2020",Antalya,841714229,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,139500,Beyaz,220000,"16 Temmuz

2020",Adana,812675374,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2013,160000,Gri,185000,"16 Temmuz

2020",Antalya,832311233,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,97000,Siyah,189000,"16 Temmuz

2020",Ýstanbul,841741863,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,171000,Beyaz,168750,"16 Temmuz

2020",Ýstanbul,840120022,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,45000,Siyah,227000,"16 Temmuz

2020",Adana,841714706,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,99650,Siyah,194750,"16 Temmuz

2020",Ýstanbul,841689584,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,71000,Siyah,278000,"16 Temmuz

2020",Ankara,841682485,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,80000,Beyaz,217500,"16 Temmuz

2020",Ýstanbul,841709519,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,134000,Beyaz,207000,"16 Temmuz

2020",Erzurum,841710822,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,130000,Siyah,204000,"16 Temmuz

2020",Þanlýurfa,841706546,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,97000,Kýrmýzý,235900,"16 Temmuz

2020",Bursa,832333952,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,69999,Beyaz,234900,"16 Temmuz

2020",Trabzon,832499333,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2013,157000,Beyaz,173000,"16 Temmuz

2020",Þanlýurfa,841681802,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,55000,Lacivert,219500,"16 Temmuz

2020",Ankara,841678512,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,51000,Beyaz,208000,"16 Temmuz

2020",Ankara,841542159,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,61000,Siyah,209000,"16 Temmuz

2020",Hatay,841597654,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,72000,Beyaz,193500,"16 Temmuz

2020",Kahramanmaraþ,841666614,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,74000,Beyaz,229900,"16 Temmuz

2020",Ýstanbul,841666617,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,59500,Siyah,211500,"16 Temmuz

2020",Diyarbakýr,841664937,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2013,84000,Gümüþ Gri,175000,"16 Temmuz

2020",Gaziantep,841579490,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,139000,Siyah,175000,"16 Temmuz

2020",Çanakkale,841605738,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,203000,Beyaz,162500,"16 Temmuz

2020",Þanlýurfa,841591580,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,69500,Siyah,222500,"15 Temmuz

2020",Ýstanbul,841574220,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,135000,Beyaz,198000,"15 Temmuz

2020",Diyarbakýr,841545343,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,160000,Beyaz,204500,"15 Temmuz

2020",Gaziantep,841563608,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2013,158000,Bej,177000,"15 Temmuz

2020",Ankara,841562821,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,139000,Beyaz,219500,"15 Temmuz

2020",Samsun,841563347,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,70000,Gri,237000,"15 Temmuz

2020",Konya,832306814,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,64000,Siyah,228000,"15 Temmuz

2020",Edirne,841557693,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,96000,Beyaz,195000,"16 Temmuz

2020",Ankara,819688057,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,101000,Siyah,227500,"16 Temmuz

2020",Muðla,841823796,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,101000,Bej,226000,"15 Temmuz

2020",Ýstanbul,841521258,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,121000,Siyah,194000,"15 Temmuz

2020",Adana,841519465,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,43800,Lacivert,279000,"15 Temmuz

2020",Ýstanbul,841518557,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,93000,Siyah,225000,"15 Temmuz

2020",Ýstanbul,832233198,dizel,otomatik,audi-a3-a3-sedan
